,City,Temperature,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temp,Wind Speed
0,Rikitea,71.04,5,PF,1573760455,79,-23.12,-134.97,71.04,22.24
1,Busselton,55.89,0,AU,1573760455,48,-33.64,115.35,60.01,15.08
2,Burnie,53.37,22,AU,1573760222,83,-41.05,145.91,55.99,8.01
3,Ushuaia,55.4,75,AR,1573760455,58,-54.81,-68.31,55.4,4.7
4,Nabire,70.52,96,ID,1573760455,96,-3.36,135.5,70.52,2.66
5,Arraial do Cabo,73.4,75,BR,1573760455,94,-22.97,-42.02,73.4,12.75
6,Makamba,64.24,100,BI,1573760455,86,-4.13,29.8,64.24,5.39
7,Quatre Cocos,75.09,75,MU,1573760455,73,-20.21,57.76,75.2,6.93
8,Lebu,59.0,20,ET,1573760455,54,8.96,38.73,59.0,11.41
9,Fortuna,55.44,90,US,1573760455,76,40.6,-124.16,59.0,4.7
10,Bluff,73.33,0,AU,1573760455,75,-23.58,149.07,73.33,8.59
11,Isangel,71.6,75,VU,1573760455,83,-19.55,169.27,71.6,17.69
12,Norman Wells,-5.8,75,CA,1573760455,83,65.28,-126.83,-5.8,6.93
13,Myitkyina,65.34,0,MM,1573760455,79,25.38,97.4,65.34,2.8
14,Butaritari,84.09,69,KI,1573760455,74,3.07,172.79,84.09,7.96
15,Ribeira Grande,62.6,75,PT,1573760455,72,38.52,-28.7,62.6,12.75
16,Mar del Plata,75.6,50,AR,1573760455,29,-46.43,-67.52,75.6,24.7
17,Castro,55.4,90,CL,1573760455,100,-42.48,-73.76,55.4,16.11
18,Qaanaaq,12.29,100,GL,1573760455,57,77.48,-69.36,12.29,5.14
19,Guerrero Negro,78.58,0,MX,1573760456,44,27.97,-114.04,78.58,11.41
20,Albany,32.95,90,US,1573760367,50,42.65,-73.75,37.0,12.75
21,Georgetown,89.73,75,GY,1573760263,70,6.8,-58.16,91.4,9.17
22,Tayoltita,71.15,0,MX,1573760456,34,24.11,-105.93,71.15,4.56
23,Provideniya,23.0,20,RU,1573760456,67,64.42,-173.23,23.0,33.55
24,Mataura,51.01,34,NZ,1573760456,74,-46.19,168.86,51.01,8.99
25,Willowmore,56.71,5,ZA,1573760456,82,-33.3,23.49,56.71,4.14
26,Alpena,28.8,90,US,1573760282,79,45.06,-83.43,30.2,8.05
27,Jhalida,64.29,0,IN,1573760456,69,23.36,85.98,64.29,4.52
28,Cherskiy,14.88,100,RU,1573760456,77,68.75,161.3,14.88,5.66
29,Pervomayskiy,35.73,29,RU,1573760456,84,53.24,40.29,35.73,9.37
30,Birnin Kebbi,82.99,3,NG,1573760456,16,12.45,4.2,82.99,5.88
31,Benguela,79.29,100,AO,1573760456,76,-12.58,13.4,79.29,5.08
32,Chokurdakh,-1.7,94,RU,1573760456,97,70.62,147.9,-1.7,1.03
33,Hermanus,65.12,68,ZA,1573760457,98,-34.42,19.24,66.0,13.51
34,Elat,69.49,100,CM,1573760457,97,2.91,11.16,69.49,1.3
35,Mahebourg,75.09,75,MU,1573760457,73,-20.41,57.7,75.2,6.93
36,Yatou,77.0,75,CM,1573760457,94,3.63,9.81,77.0,2.64
37,Acari,81.36,93,BR,1573760457,47,-6.44,-36.64,81.36,18.92
38,Teya,86.0,75,MX,1573760457,70,21.05,-89.07,86.0,6.93
39,Oum Hadjer,82.94,0,TD,1573760457,13,13.3,19.7,82.94,4.14
40,Tarko-Sale,-20.99,0,RU,1573760457,80,64.92,77.78,-20.99,2.62
41,Beringovskiy,27.84,71,RU,1573760457,72,63.05,179.32,27.84,31.38
42,Oltu,36.0,0,TR,1573760457,36,40.55,42.0,36.0,3.98
43,Kloulklubed,75.2,40,PW,1573760458,94,7.04,134.26,75.2,7.27
44,Boca do Acre,92.03,90,BR,1573760458,46,-8.76,-67.39,92.03,2.37
45,Yanam,74.62,0,IN,1573760458,82,16.73,82.22,74.62,4.03
46,Jamestown,49.03,11,AU,1573760458,86,-33.21,138.6,49.03,5.73
47,San Isidro,75.36,40,CR,1573760458,83,10.02,-84.06,77.0,10.29
48,Kenai,32.97,90,US,1573760458,86,60.55,-151.26,33.8,5.82
49,Khatanga,-13.92,99,RU,1573760458,97,71.98,102.47,-13.92,12.41
50,Chicama,68.0,0,PE,1573760458,77,-7.84,-79.15,68.0,13.87
51,Katsuura,46.4,40,JP,1573760458,65,33.93,134.5,46.4,5.82
52,Coihaique,60.17,75,CL,1573760458,59,-45.58,-72.07,60.8,5.82
53,Tasiilaq,33.82,100,GL,1573760458,97,65.61,-37.64,33.82,54.29
54,Pisco,70.72,90,PE,1573760458,30,-13.71,-76.2,71.6,6.93
55,Avarua,78.8,0,CK,1573760253,78,-21.21,-159.78,78.8,11.41
56,Talnakh,-27.4,80,RU,1573760519,74,69.49,88.39,-27.4,2.24
57,Kavaratti,81.81,0,IN,1573760519,70,10.57,72.64,81.81,3.44
58,Cape Town,66.06,75,ZA,1573760413,93,-33.93,18.42,66.99,20.8
59,Gat,78.8,100,SN,1573760519,57,14.69,-16.54,78.8,4.7
60,Rantauprapat,72.91,100,ID,1573760307,99,2.1,99.83,72.91,1.66
61,Victoria,77.0,75,BN,1573760520,94,5.28,115.24,77.0,5.57
